"service_id","date","exception_type"
"GO204_179","20170314","1"
"GO204_179","20170315","1"
"GO204_179","20170316","1"
"GO204_179","20170317","1"
"GO204_179","20170321","1"
"GO204_179","20170322","1"
"GO204_179","20170323","1"
"GO204_179","20170324","1"
"GO204_179","20170328","1"
"GO204_179","20170329","1"
"GO204_179","20170330","1"
"GO204_179","20170331","1"
"GO204_179","20170404","1"
"GO204_179","20170405","1"
"GO204_179","20170406","1"
"GO204_179","20170407","1"
"GO204_179","20170411","1"
"GO204_179","20170412","1"
"GO204_179","20170413","1"
"GO204_179","20170414","1"
"GO204_179","20170418","1"
"GO204_179","20170419","1"
"GO204_179","20170420","1"
"GO204_179","20170421","1"
"GO204_179","20170425","1"
"GO204_179","20170426","1"
"GO204_179","20170427","1"
"GO204_179","20170428","1"
"GO204_179","20170502","1"
"GO204_179","20170503","1"
"GO204_179","20170504","1"
"GO204_179","20170505","1"
"GO204_179","20170509","1"
"GO204_179","20170510","1"
"GO204_179","20170511","1"
"GO204_179","20170512","1"
"GO204_179","20170516","1"
"GO204_179","20170517","1"
"GO204_179","20170518","1"
"GO204_179","20170519","1"
"GO204_1710","20170310","1"
"GO204_1710","20170317","1"
"GO204_1710","20170324","1"
"GO204_1710","20170331","1"
"GO204_1710","20170407","1"
"GO204_1710","20170414","1"
"GO204_1710","20170421","1"
"GO204_1710","20170428","1"
"GO204_1710","20170505","1"
"GO204_1710","20170512","1"
"GO204_1710","20170519","1"
"GO204_1711","20170306","1"
"GO204_1711","20170307","1"
"GO204_1711","20170308","1"
"GO204_1711","20170309","1"
"GO204_1711","20170310","1"
"GO204_1711","20170313","1"
"GO204_1711","20170314","1"
"GO204_1711","20170315","1"
"GO204_1711","20170316","1"
"GO204_1711","20170320","1"
"GO204_1711","20170321","1"
"GO204_1711","20170322","1"
"GO204_1711","20170323","1"
"GO204_1711","20170324","1"
"GO204_1711","20170327","1"
"GO204_1711","20170328","1"
"GO204_1711","20170329","1"
"GO204_1711","20170330","1"
"GO204_1711","20170331","1"
"GO204_1711","20170403","1"
"GO204_1711","20170404","1"
"GO204_1711","20170405","1"
"GO204_1711","20170406","1"
"GO204_1711","20170407","1"
"GO204_1711","20170411","1"
"GO204_1711","20170412","1"
"GO204_1711","20170413","1"
"GO204_1711","20170417","1"
"GO204_1711","20170418","1"
"GO204_1711","20170419","1"
"GO204_1711","20170420","1"
"GO204_1711","20170421","1"
"GO204_1711","20170424","1"
"GO204_1711","20170425","1"
"GO204_1711","20170426","1"
"GO204_1711","20170427","1"
"GO204_1711","20170428","1"
"GO204_1711","20170501","1"
"GO204_1711","20170502","1"
"GO204_1711","20170503","1"
"GO204_1711","20170504","1"
"GO204_1711","20170505","1"
"GO204_1711","20170508","1"
"GO204_1711","20170509","1"
"GO204_1711","20170510","1"
"GO204_1711","20170511","1"
"GO204_1711","20170512","1"
"GO204_1711","20170515","1"
"GO204_1711","20170516","1"
"GO204_1711","20170517","1"
"GO204_1711","20170518","1"
"GO204_1711","20170519","1"
"GO204_1712","20170306","1"
"GO204_1712","20170307","1"
"GO204_1712","20170308","1"
"GO204_1712","20170309","1"
"GO204_1712","20170310","1"
"GO204_1712","20170313","1"
"GO204_1712","20170314","1"
"GO204_1712","20170315","1"
"GO204_1712","20170316","1"
"GO204_1712","20170317","1"
"GO204_1712","20170320","1"
"GO204_1712","20170321","1"
"GO204_1712","20170322","1"
"GO204_1712","20170323","1"
"GO204_1712","20170324","1"
"GO204_1712","20170327","1"
"GO204_1712","20170328","1"
"GO204_1712","20170329","1"
"GO204_1712","20170330","1"
"GO204_1712","20170331","1"
"GO204_1712","20170403","1"
"GO204_1712","20170404","1"
"GO204_1712","20170405","1"
"GO204_1712","20170406","1"
"GO204_1712","20170407","1"
"GO204_1712","20170410","1"
"GO204_1712","20170411","1"
"GO204_1712","20170412","1"
"GO204_1712","20170413","1"
"GO204_1712","20170414","1"
"GO204_1712","20170417","1"
"GO204_1712","20170418","1"
"GO204_1712","20170419","1"
"GO204_1712","20170420","1"
"GO204_1712","20170421","1"
"GO204_1712","20170424","1"
"GO204_1712","20170425","1"
"GO204_1712","20170426","1"
"GO204_1712","20170427","1"
"GO204_1712","20170428","1"
"GO204_1712","20170501","1"
"GO204_1712","20170502","1"
"GO204_1712","20170503","1"
"GO204_1712","20170504","1"
"GO204_1712","20170505","1"
"GO204_1712","20170508","1"
"GO204_1712","20170509","1"
"GO204_1712","20170510","1"
"GO204_1712","20170511","1"
"GO204_1712","20170512","1"
"GO204_1712","20170515","1"
"GO204_1712","20170516","1"
"GO204_1712","20170517","1"
"GO204_1712","20170518","1"
"GO204_1712","20170519","1"
"GO204_1713","20170306","1"
"GO204_1713","20170307","1"
"GO204_1713","20170308","1"
"GO204_1713","20170309","1"
"GO204_1713","20170310","1"
"GO204_1713","20170313","1"
"GO204_1713","20170314","1"
"GO204_1713","20170315","1"
"GO204_1713","20170316","1"
"GO204_1713","20170317","1"
"GO204_1713","20170320","1"
"GO204_1713","20170321","1"
"GO204_1713","20170322","1"
"GO204_1713","20170323","1"
"GO204_1713","20170324","1"
"GO204_1713","20170327","1"
"GO204_1713","20170328","1"
"GO204_1713","20170329","1"
"GO204_1713","20170330","1"
"GO204_1713","20170331","1"
"GO204_1713","20170403","1"
"GO204_1713","20170404","1"
"GO204_1713","20170405","1"
"GO204_1713","20170406","1"
"GO204_1713","20170407","1"
"GO204_1713","20170410","1"
"GO204_1713","20170411","1"
"GO204_1713","20170412","1"
"GO204_1713","20170413","1"
"GO204_1713","20170414","1"
"GO204_1713","20170417","1"
"GO204_1713","20170418","1"
"GO204_1713","20170419","1"
"GO204_1713","20170420","1"
"GO204_1713","20170421","1"
"GO204_1713","20170424","1"
"GO204_1713","20170425","1"
"GO204_1713","20170426","1"
"GO204_1713","20170427","1"
"GO204_1713","20170428","1"
"GO204_1713","20170501","1"
"GO204_1713","20170502","1"
"GO204_1713","20170503","1"
"GO204_1713","20170504","1"
"GO204_1713","20170505","1"
"GO204_1713","20170508","1"
"GO204_1713","20170509","1"
"GO204_1713","20170510","1"
"GO204_1713","20170511","1"
"GO204_1713","20170512","1"
"GO204_1713","20170515","1"
"GO204_1713","20170516","1"
"GO204_1713","20170517","1"
"GO204_1713","20170518","1"
"GO204_1713","20170519","1"
"GO204_1714","20170306","1"
"GO204_1714","20170307","1"
"GO204_1714","20170308","1"
"GO204_1714","20170309","1"
"GO204_1714","20170310","1"
"GO204_1714","20170313","1"
"GO204_1714","20170314","1"
"GO204_1714","20170315","1"
"GO204_1714","20170316","1"
"GO204_1714","20170317","1"
"GO204_1714","20170320","1"
"GO204_1714","20170321","1"
"GO204_1714","20170322","1"
"GO204_1714","20170323","1"
"GO204_1714","20170324","1"
"GO204_1714","20170327","1"
"GO204_1714","20170328","1"
"GO204_1714","20170329","1"
"GO204_1714","20170330","1"
"GO204_1714","20170331","1"
"GO204_1714","20170403","1"
"GO204_1714","20170404","1"
"GO204_1714","20170405","1"
"GO204_1714","20170406","1"
"GO204_1714","20170407","1"
"GO204_1714","20170410","1"
"GO204_1714","20170411","1"
"GO204_1714","20170412","1"
"GO204_1714","20170413","1"
"GO204_1714","20170414","1"
"GO204_1714","20170417","1"
"GO204_1714","20170418","1"
"GO204_1714","20170419","1"
"GO204_1714","20170420","1"
"GO204_1714","20170421","1"
"GO204_1714","20170424","1"
"GO204_1714","20170425","1"
"GO204_1714","20170426","1"
"GO204_1714","20170427","1"
"GO204_1714","20170428","1"
"GO204_1714","20170501","1"
"GO204_1714","20170502","1"
"GO204_1714","20170503","1"
"GO204_1714","20170504","1"
"GO204_1714","20170505","1"
"GO204_1714","20170508","1"
"GO204_1714","20170509","1"
"GO204_1714","20170510","1"
"GO204_1714","20170511","1"
"GO204_1714","20170512","1"
"GO204_1714","20170515","1"
"GO204_1714","20170516","1"
"GO204_1714","20170517","1"
"GO204_1714","20170518","1"
"GO204_1714","20170519","1"
"GO204_1715","20170312","1"
"GO204_1715","20170319","1"
"GO204_1715","20170326","1"
"GO204_1715","20170402","1"
"GO204_1715","20170409","1"
"GO204_1715","20170416","1"
"GO204_1715","20170423","1"
"GO204_1715","20170430","1"
"GO204_1715","20170507","1"
"GO204_1715","20170514","1"
"GO204_1715","20170521","1"
"GO204_1716","20170312","1"
"GO204_1716","20170319","1"
"GO204_1716","20170326","1"
"GO204_1716","20170402","1"
"GO204_1716","20170409","1"
"GO204_1716","20170416","1"
"GO204_1716","20170423","1"
"GO204_1716","20170430","1"
"GO204_1716","20170507","1"
"GO204_1716","20170514","1"
"GO204_1716","20170521","1"
"GO204_1717","20170429","1"
"GO204_1717","20170430","1"
"GO204_1717","20170506","1"
"GO204_1717","20170507","1"
"GO204_1717","20170513","1"
"GO204_1717","20170514","1"
"GO204_1717","20170520","1"
"GO204_1717","20170521","1"
"GO204_1718","20170311","1"
"GO204_1718","20170312","1"
"GO204_1718","20170318","1"
"GO204_1718","20170319","1"
"GO204_1718","20170325","1"
"GO204_1718","20170326","1"
"GO204_1718","20170401","1"
"GO204_1718","20170402","1"
"GO204_1718","20170408","1"
"GO204_1718","20170409","1"
"GO204_1718","20170415","1"
"GO204_1718","20170416","1"
"GO204_1718","20170422","1"
"GO204_1718","20170423","1"
"GO204_1718","20170429","1"
"GO204_1718","20170430","1"
"GO204_1718","20170506","1"
"GO204_1718","20170507","1"
"GO204_1718","20170513","1"
"GO204_1718","20170514","1"
"GO204_1718","20170520","1"
"GO204_1718","20170521","1"
"GO204_1719","20170312","1"
"GO204_1719","20170319","1"
"GO204_1719","20170326","1"
"GO204_1719","20170402","1"
"GO204_1719","20170409","1"
"GO204_1719","20170416","1"
"GO204_1719","20170423","1"
"GO204_1719","20170430","1"
"GO204_1719","20170507","1"
"GO204_1719","20170514","1"
"GO204_1719","20170521","1"
"GO204_1720","20170311","1"
"GO204_1720","20170318","1"
"GO204_1720","20170325","1"
"GO204_1720","20170401","1"
"GO204_1720","20170408","1"
"GO204_1720","20170415","1"
"GO204_1720","20170422","1"
"GO204_1720","20170429","1"
"GO204_1720","20170506","1"
"GO204_1720","20170513","1"
"GO204_1720","20170520","1"
"GO204_1721","20170312","1"
"GO204_1721","20170319","1"
"GO204_1721","20170326","1"
"GO204_1721","20170402","1"
"GO204_1721","20170409","1"
"GO204_1721","20170416","1"
"GO204_1721","20170423","1"
"GO204_1721","20170430","1"
"GO204_1721","20170507","1"
"GO204_1721","20170514","1"
"GO204_1721","20170521","1"
"GO204_1722","20170312","1"
"GO204_1722","20170319","1"
"GO204_1722","20170326","1"
"GO204_1722","20170402","1"
"GO204_1722","20170409","1"
"GO204_1722","20170416","1"
"GO204_1722","20170423","1"
"GO204_1722","20170430","1"
"GO204_1722","20170507","1"
"GO204_1722","20170514","1"
"GO204_1722","20170521","1"
"GO204_1723","20170306","1"
"GO204_1723","20170307","1"
"GO204_1723","20170308","1"
"GO204_1723","20170309","1"
"GO204_1723","20170310","1"
"GO204_1723","20170313","1"
"GO204_1723","20170314","1"
"GO204_1723","20170315","1"
"GO204_1723","20170316","1"
"GO204_1723","20170317","1"
"GO204_1723","20170320","1"
"GO204_1723","20170321","1"
"GO204_1723","20170322","1"
"GO204_1723","20170323","1"
"GO204_1723","20170324","1"
"GO204_1723","20170327","1"
"GO204_1723","20170328","1"
"GO204_1723","20170329","1"
"GO204_1723","20170330","1"
